id,title,domain,severity,confidence,scope,status,file,function_or_endpoint,condition,impact_summary,estimated_effort,recommended_solution
WW-P1-001,"Registrants RLS INSERT policy allows forging registrant rows, capacity-exhaustion DoS",Scheduling/Session,P1,High,single-tenant (repeatable across tenants),CONFIRMED,supabase/migrations/20260822000004_rls_policies.sql:160-162,registrants_insert_public policy,"Unauthenticated client with anon key + webinar_id + target session time","No-auth DoS on registration for any webinar/account",Small,Drop registrants_insert_public; register_for_webinar() is SECURITY DEFINER and needs no RLS grant
WW-P1-002,"Admin reactivation doesn't clear canceled_at/deletion_warning_sent_at, risking silent premature deletion",Whop,P1,High,single-tenant,CONFIRMED,src/lib/actions/admin.ts:122-140,reactivateAccount,"Account canceled -> admin reactivates -> canceled again >90 days after original cancel date","Account permanently deleted with no warning email sent",Small,Clear canceled_at and deletion_warning_sent_at on reactivation
WW-P1-003,membership.cancel_at_period_end_changed never handled; scheduled cancellation may cut access immediately,Whop,P1,Medium-High,single-tenant (systemic),CONFIRMED,src/app/api/webhooks/whop/route.ts:34;36-52,SYNCED_EVENTS / mapWhopStatus,"Host schedules a cancel-at-period-end via self-serve billing","Possible immediate access loss contradicting documented 'access continues to period end' intent",Medium,Add explicit canceling/drafted handling; subscribe to cancel_at_period_end_changed; verify in live sandbox
WW-P1-004,CTA click conversion % can exceed 100% (no per-registrant dedup),Analytics Integrity,P1,High,single-tenant (systemic),CONFIRMED,supabase/migrations/20260903000004_separate_cta_poll_analytics.sql:43-60,get_webinar_cta_stats,"Registrant clicks same CTA from overlay and Avisos tab",Unbounded/misleading conversion metric shown to host,Small,"Dedupe clicks via count(distinct registrant_id), cap conversion_pct at 100"
WW-P1-005,Watch time is self-reported wall clock with no server-side plausibility check,Analytics Integrity,P1,High,single-tenant (systemic),CONFIRMED,supabase/migrations/20260822000003_functions_and_triggers.sql:425-451,record_viewer_event,"Single unauthenticated RPC call with access_token and no real playback",Lead score and retention metrics trivially fabricated,Medium,"Clamp timestamp to [0,duration_seconds] and plausible delta; add rate limit"
WW-P1-006,YouTube player has no onError handling; dead video shows misleading ad-blocker message,Video,P1,High,single-tenant per occurrence (universal failure mode),CONFIRMED,src/components/locked-youtube-player.tsx:343-387,LockedYouTubePlayer,"YouTube video deleted/private/embedding-disabled after being saved","Registrants misled about cause of broken video; no host alert",Medium,Register onError handler; surface distinct 'unavailable' message; alert owner
WW-P1-007,Vimeo player has no error/domain-restriction handling; same misleading ad-blocker message,Video,P1,High,single-tenant per occurrence (universal for Vimeo hosts),CONFIRMED,src/components/locked-vimeo-player.tsx:285-291,LockedVimeoPlayer,"Vimeo video domain-restricted/privacy-hash-mismatched/deleted","Registrants misled; Vimeo's own domain restriction misdiagnosed as ad blocker",Medium,Register SDK error event; surface Vimeo's actual error/type
WW-P1-008,Direct-URL player has no error listener at all; dead file shows misleading tap-to-resume prompt,Video,P1,High,single-tenant per occurrence (universal for direct-URL hosts),CONFIRMED,src/components/locked-video-player.tsx:113-155,LockedVideoPlayer,"Host-supplied URL 404s/removed/CORS-blocked/corrupted","Registrant stuck indefinitely with zero diagnostic or recovery path",Medium,Add video error listener; distinct unavailable message; consider health checks on direct_url
WW-P1-009,webinars RLS exposes raw video URL/ID to any anonymous visitor pre-registration,Video (cross-cutting),P1,High,cross-tenant in effect (every published webinar),CONFIRMED,supabase/migrations/20260822000004_rls_policies.sql:87-89,webinars_select_public policy,"Any visitor of a public registration page, no registration needed","Direct-URL file exposed publicly (egress cost); Vimeo privacy-hash protection defeated; YouTube live-room gating bypassed",Medium,Create webinar_public_profile view exposing only safe columns; restrict video columns to members/token-gated RPCs
WW-P1-010,Chat/CTAs/completion webhook driven by wall clock independent of real video playback,Video (cross-cutting),P1,High,single-tenant per occurrence (systemic),CONFIRMED,src/app/[locale]/w/[accountSlug]/[webinarSlug]/live/[token]/live-room-client.tsx:168-176;299-317,getElapsedSeconds/handleTimeUpdate,"Any of the three per-provider video failure modes occurs","Registrant who never saw video recorded as full attendee/completion in host's CRM/analytics",Medium,Track whether playback ever actually started; suppress/flag completion webhook if not
WW-P1-011,Open redirect in OAuth / email-confirmation callback,API Security,P1,High,platform-wide,CONFIRMED,src/app/auth/callback/route.ts:9,16,GET /auth/callback,"Attacker sends victim a crafted login/signup link with next= param pointing off-site","Phishing amplification via a genuine successful login redirecting to attacker domain",Small,Validate next is a same-origin relative path
WW-P1-012,growth_account_milestones() SECURITY DEFINER has no internal auth check and no explicit GRANT anywhere,Multi-Tenant Security,P1,Medium (pending live verification),cross-tenant if live,CONFIRMED (mechanism) / condition PENDING LIVE CHECK,supabase/migrations/20260910000004_growth_activation.sql:28-79,growth_account_milestones,"Depends on whether Supabase's live DB has revoked default PUBLIC execute (standard for hosted Supabase) or not","If callable directly: cross-tenant disclosure of another account's activation-milestone timeline",Small,Run explicit REVOKE EXECUTE regardless of live-check outcome; add schema-wide default-privilege revoke
WW-P2-001,No enforcement when host edits live webinar's video/duration or archives it mid-session,Scheduling/Session,P2,High,single-tenant,CONFIRMED,src/lib/actions/webinars.ts:311-356;live/[token]/page.tsx:23-31,setWebinarVideo/archiveWebinar,"Host edits video/duration or archives while a registrant tab is open","CTA timing can misfire against old video; archiving doesn't kick open tabs (undocumented asymmetry)",Medium,Have playback-state RPCs check and surface webinars.status
WW-P2-002,Two plan-limit triggers (max_active_webinars/max_users) have no row lock: exploitable TOCTOU races,Whop,P2,High,single-tenant,CONFIRMED,supabase/migrations/20260822000003_functions_and_triggers.sql:204-239;284-316,enforce_webinar_publish_limit/enforce_invitation_user_limit,"Two concurrent publish/invite requests at limit-1","Account can exceed its plan's webinar/seat limit",Small,Add 'for update' row lock matching the two already-correct limit triggers
WW-P2-003,billing_customer_id UNIQUE constraint blocks one Whop user owning a second WeWebinars account,Whop,P2,High (schema)/Medium (business realism),single-tenant,CONFIRMED,supabase/migrations/20260822000002_tables.sql:30,accounts.billing_customer_id,"Same Whop login activates a second separate WeWebinars account","Second account never activates despite Whop accepting payment",Small,Verify business realism; drop or rescope the UNIQUE constraint
WW-P2-004,'Attendee' has two different denominators across analytics RPCs,Analytics Integrity,P2,High,single-tenant,CONFIRMED,supabase/migrations/20260903000004_separate_cta_poll_analytics.sql,get_webinar_cta_stats vs other RPCs,"Registrant disconnects before first 15s heartbeat","CTA conversion computed against a different population than the funnel on the same page",Small,Standardize attendee definition across all RPCs
WW-P2-005,CSV export and PDF report always report all-time totals ignoring active date-range filter,Analytics Integrity,P2,High,single-tenant,CONFIRMED,src/app/api/webinars/[id]/export/route.ts:61-64;.../report/route.tsx:75-89,export/report routes,"Host filters dashboard then downloads CSV/PDF","Exported numbers silently mismatch the filtered numbers on screen",Small-Medium,Thread date-range params through both export routes or label buttons '(all time)'
WW-P2-006,record_viewer_event has no rate limit; unbounded write amplification and lead-score inflation,Analytics Integrity,P2,High,single-tenant,CONFIRMED,supabase/migrations/20260822000003_functions_and_triggers.sql:425-453,record_viewer_event,"Any registrant/script calls the RPC unbounded times",Lead score inflated to 'hot' with zero real engagement; cost/DB load risk,Small,Apply same rate limit already built for chat messages
WW-P2-007,CTA click totals aren't deduped (same bug class explicitly fixed for poll votes),Analytics Integrity,P2,High,single-tenant,CONFIRMED,supabase/migrations/20260828000005_dedupe_poll_votes.sql (contrast),get_webinar_cta_stats/get_webinar_cta_clickers,Same as WW-P1-004,Same as WW-P1-004,Small,Apply existing DISTINCT ON dedup pattern to CTA clicks
WW-P2-008,Malformed Vimeo privacy hash silently dropped instead of rejected,Video,P2,Medium-High,single-tenant,CONFIRMED,src/lib/vimeo.ts:29;34,extractVimeoVideoId,"Vimeo hidden video's privacy hash contains non-alphanumeric character","Wizard preview hangs with no diagnostic; live room would 403",Small,Reject (return null) rather than truncate on failed hash pattern match
WW-P2-009,No tab-visibility-change recovery for Vimeo playback,Video,P2,High,single-tenant,CONFIRMED,src/components/locked-vimeo-player.tsx,LockedVimeoPlayer,"Mobile viewer backgrounds the tab during Vimeo playback",No automatic resume attempt; only manual 8s prompt,Small,Add visibilitychange listener matching YouTube's
WW-P2-010,No tab-visibility-change recovery for direct-URL video,Video,P2,High,single-tenant,CONFIRMED,src/components/locked-video-player.tsx,LockedVideoPlayer,Same as WW-P2-009 for direct-URL,Same as WW-P2-009,Small,Same as WW-P2-009
WW-P2-011,Stale duration_seconds after host swaps file at same URL can cut a longer video off mid-content,Video,P2,Medium-High,single-tenant,CONFIRMED,src/lib/actions/webinars.ts:311-334;live-room-client.tsx:299-317,setWebinarVideo/handleTimeUpdate,"Host replaces hosted file with a longer cut at the same URL","Session ends visually mid-content for every registrant",Medium,Periodically re-probe direct_url duration or rely on real ended event when mismatch is large
WW-P2-012,setWebinarVideo performs zero server-side validation; client parsers are the only defense,Video (cross-cutting),P2,High,single-tenant,CONFIRMED,src/lib/actions/webinars.ts:311-325,setWebinarVideo,"Direct POST to Server Action bypassing browser UI","Malformed/non-https video_source can be stored, breaking own webinar",Small,Re-validate video provider/source server-side with existing pure parser functions
WW-P2-013,No video-availability monitoring or account-owner notification for any provider,Video (cross-cutting),P2,High,platform-wide,CONFIRMED,N/A (absence confirmed),N/A,"Any video failure (WW-P1-006/007/008) occurs",Broken video invisible to WeWebinars/host until a registrant complains,Medium,Add health-check job and/or playback-started signal with owner alerting
WW-P2-014,insert_readiness_assessment() SECURITY DEFINER trusts every client parameter including computed scores; same grant ambiguity as WW-P1-012,Multi-Tenant Security,P2,Medium (pending live verification),platform-wide (fraud/spam not cross-tenant),CONFIRMED (mechanism) / condition PENDING LIVE CHECK,supabase/migrations/20260908000003_insert_readiness_assessment_rpc.sql:1-11;112-172,insert_readiness_assessment,"Same live-DB grant ambiguity as WW-P1-012","If callable directly: forged scores/marketing_consent, lead-pipeline spam",Small,Explicit REVOKE EXECUTE; move score recomputation into the SQL function itself
WW-P2-015,SSRF in outbound-webhooks feature via bypassable https-only check,API Security,P2,High,single-tenant (attacker uses own account's webhook config),CONFIRMED,src/lib/actions/webhooks.ts:30-33;src/lib/webhooks.ts:26,deliverToEndpoint,"Webhook URL redirects (302) to an internal/metadata address","Internal network/service enumeration via readable webhook_deliveries status",Medium,Resolve hostname and reject private/loopback ranges; set redirect:manual and re-validate each hop
